artist_name
※rue deaneはキャンセルになりました
40分ずつのツーマンです！
[Original Drink]
Pygmy I'm cricket
xonto
キキレイレイ
中津 龍一郎
畔(SAYONARA HATE TOWN)
#Onedigital
雨上がりのあおいちゃん
TRASARENU
鉄骨渡り
Ray
13時間ズハイ
ゆうやけしはす&すうらばあず
千野隆尋(GOOD ON THE REEL)
太鵬
惹女香花
コールスロー
either
さらばルバート
mukeikaku
魚田二月
ピューパ!!
スパイシーガーリック
グデイ
せだい
罅
あっけらかんず
mizchi
ante
itami teeth
SONOSUKIMAKARA
時速36km
ユノハナ
YAPOOL
Halo at 四畳半)
FILTER
ende
青春群像録
塩入冬湖
ミネギシショウ (Foxtrot)
侍文化 )
BurnQue
よすが
kienai
and more....
ank
Swing Skit
Cüll
ニャホ
濱野祐輝(変わる変わる変わる。
"GIL CERRONE (Melbourne, AUS)"
weakness
歌:トニーフランク
TELLECHO（from 新潟）
she said she said she said
mie（キンヨウノヨル）
switch board
synchre
Sezyo
45分ずつの爆裂ツーマン⚔️
タナカズかきかき(かき氷)
ヒガ2000
SOCCER.
Kengs
ホピーハイボ
food
Foxtrot
POETRY OF TORCH
rue deane
BATROICA METAL SUMMER JACKET
海の散歩
THE ERIC MARK'S
evony
※年齢バンドはメンバーの体調不良につき、特別編成での出演となります。
シロイソラ
Seeker’s Club Band
toi
トキワの森
"KERATIN (Melbourne, AUS)"
(The)SEGARE KIDS
22-78
TYTW
魔笛
the dadadadys
ORANGE POOLSIDE
SAYONARA HATE TOWN
tiny-yang-yang
nosuri
tegakiLIFE
未完成少年
ムルアイ (Salmiakki crew)
はにかんで春
天国かんじ
畔 (SAYONARA HATE TOWN)
ヘクトーよるをまもる
年齢バンド
OAKTAILS
茶封筒
Bless this union
DNA GAINZ
※Joseph Gen (fulusu)は体調不良に伴いキャンセルとなりました。
JIDAI
nufehtin
トンツカタンお抹茶
may in film
マタンゴ
ゆっくり走れ
LESTER
AAD
Andalucía
バアムクウヘン
堀越颯太(KAKASHI)
二代目ちくわぶ
MO MOMA
aisavil.
tokyo lil boy
PISQAL
Loulou Parasom
THE HERE
GRIMM ROCK
musbime
hyuen
ANORAK!
萬屋樹太郎(知る権利)
ヒメウズ
クリオネ方程式
さかな日記
Kensuke Sudo
Guido
liquid people
手塚智晴 (URARACA)
w
agak
ヤスエでんじゃらすおじさん
中川 共喜
ささくれ
渡井翔汰(Varrentia
らんまん
